"","OSA_prob_intercept","OSA_misclassification_rate","OSA_true_est","pval_true_est","OSA_observed_est","pval_observed_est"
"6347",-0.5,0.4,0.10454222776701,2.46853854128757e-06,0.0300665688596754,0.238878209999977
"6348",-0.5,0.4,0.0985443587014374,8.12422124869895e-06,0.0604458624133085,0.016839546067383
"6349",-0.5,0.4,0.125450947398239,1.68986295519274e-08,0.100791124669401,7.68223690501194e-05
"6350",-0.5,0.4,0.0808825168914335,0.000289624978789887,0.0427404187985268,0.0964723909203871
"6351",-0.5,0.4,0.117742503009681,1.25796936984929e-07,0.134815746396684,1.15486505600876e-07
"6352",-0.5,0.4,0.0809257772653336,0.000264757534298237,0.0487254218954424,0.0556515694540933
"6353",-0.5,0.4,0.11842309245584,9.17834542274213e-08,0.113334528571417,6.79403663291425e-06
"6354",-0.5,0.4,0.111038567813556,7.27295022137539e-07,0.0883313911929377,0.000568223312888796
"6355",-0.5,0.4,0.13732151599476,5.88416785856179e-10,0.131877735633652,1.94565804294366e-07
"6356",-0.5,0.4,0.121711944187668,5.08347891536772e-08,0.109183707741212,2.0160842279968e-05
"6357",-0.5,0.4,0.0860497282128454,0.000108682193866141,0.059305144534895,0.0198720345653562
"6358",-0.5,0.4,0.145039792252973,8.36763995199183e-11,0.128274153207768,5.51697281385801e-07
"6359",-0.5,0.4,0.0609713980820276,0.00608111324248847,0.0333171945492687,0.19397854336841
"6360",-0.5,0.4,0.0848628876442363,0.000130633241002056,0.051349510989553,0.0444058028428868
"6361",-0.5,0.4,0.137607222919261,7.33488467896732e-10,0.0811914879828014,0.00164161052856935
"6362",-0.5,0.4,0.0786230205356718,0.000486365046814608,0.0514222085886407,0.0465345094912711
"6363",-0.5,0.4,0.0860257972677283,0.000127965471258413,0.0657610337570472,0.0110615110071126
"6364",-0.5,0.4,0.115454151998395,2.26388874342306e-07,0.0666053532477536,0.00939302140452661
"6365",-0.5,0.4,0.118115161069005,1.25502882451643e-07,0.103384799359359,4.72404619527265e-05
"6366",-0.5,0.4,0.0800901980889428,0.000313917103140173,0.0807394352389602,0.00145305245593007
"6367",-0.5,0.4,0.125614237816007,1.66500693658888e-08,0.0671053308961055,0.00877945690430666
"6368",-0.5,0.4,0.104022657199859,3.13199419274417e-06,0.0796396034755221,0.00186550993093564
"6369",-0.5,0.4,0.0921742523745793,3.37328914219548e-05,0.0644382817271671,0.0115641800887491
"6370",-0.5,0.4,0.132794293200906,2.43789398935526e-09,0.0956113917484458,0.000169334211804504
"6371",-0.5,0.4,0.143982518137318,8.40714621788484e-11,0.0969462498982999,0.000157343482433348
"6372",-0.5,0.4,0.0827498187473043,0.000210272334174893,0.0546179875995376,0.0330484881870976
"6373",-0.5,0.4,0.0950916416198779,1.77806825714483e-05,0.0950909970074956,0.000193310213732817
"6374",-0.5,0.4,0.130870509549743,3.46220840553002e-09,0.0877800115073194,0.000543003153161109
"6375",-0.5,0.4,0.116604227778705,1.68520866910561e-07,0.122814654896176,1.46429543332405e-06
"6376",-0.5,0.4,0.128629656547446,7.81489945828616e-09,0.108305062982978,2.35996719831484e-05
"6377",-0.5,0.4,0.0994050367704868,7.92685689452908e-06,0.0988640281691575,8.16435789113419e-05
"6378",-0.5,0.4,0.0615774167182027,0.00587782304372456,0.0451150333603447,0.0794401597560766
"6379",-0.5,0.4,0.105295187508688,2.3964414359089e-06,0.0846791801287729,0.000884225645374032
"6380",-0.5,0.4,0.111428149354779,5.45911064287775e-07,0.118801590237867,3.18958271354665e-06
"6381",-0.5,0.4,0.108312397023006,1.15978955943117e-06,0.0996913475020127,8.2164487618518e-05
"6382",-0.5,0.4,0.0739371212645021,0.000874375559058432,0.0574169249399194,0.0239165027204823
"6383",-0.5,0.4,0.0814691176975172,0.000249537842322394,0.0770342269007865,0.00240216607004388
"6384",-0.5,0.4,0.109635502147893,7.53470880688193e-07,0.111167266140519,1.17451124890911e-05
"6385",-0.5,0.4,0.0847179306603737,0.000140045556842795,0.096528541961145,0.000160700338082721
"6386",-0.5,0.4,0.094581541969838,2.25782991169984e-05,0.0778635703430012,0.00237136862066354
"6387",-0.5,0.4,0.130794924729672,4.29041556673204e-09,0.119662341936538,2.63513068299611e-06
"6388",-0.5,0.4,0.120572029972476,8.01353185185276e-08,0.0863437440625212,0.000800340016739458
"6389",-0.5,0.4,0.111972487280562,5.41124861000565e-07,0.100354970282772,9.67349745352899e-05
"6390",-0.5,0.4,0.121622537218235,4.73854554073711e-08,0.0790512162335804,0.00208737773550434
"6391",-0.5,0.4,0.0800308347670618,0.000367733571325927,0.0383231823400799,0.139793902825565
"6392",-0.5,0.4,0.126226284091896,1.18560432230688e-08,0.100627758207216,7.00085630880935e-05
"6393",-0.5,0.4,0.054689814409457,0.0132114624052358,0.0434344981284278,0.0871812262012254
"6394",-0.5,0.4,0.134050276010526,1.61873330617564e-09,0.0908457790401258,0.000354971789411252
"6395",-0.5,0.4,0.115050087713804,2.95903577247197e-07,0.0844988298892613,0.00102110151197526
"6396",-0.5,0.4,0.083142686686679,0.000183552153774365,0.0831763015987536,0.0010902577350553
"6397",-0.5,0.4,0.114492932612641,3.01206728113778e-07,0.064145162327214,0.0126784608393622
